,number,value,datetime_start,datetime_complete,duration,params_inserts,params_memtable,params_point_queries,state
0,0,1841966.0,2024-08-05 12:53:28.399935,2024-08-05 12:53:28.399937,0 days 00:00:00.000002,0.5,skiplist,0.5,COMPLETE
1,1,1824654.0,2024-08-05 12:53:28.400086,2024-08-05 12:53:28.400086,0 days 00:00:00,0.5,skiplist,0.5,COMPLETE
2,2,2021229.0,2024-08-05 12:53:28.400169,2024-08-05 12:53:28.400169,0 days 00:00:00,0.5,skiplist,0.5,COMPLETE
3,3,1819497.0,2024-08-05 12:53:28.400234,2024-08-05 12:53:28.400235,0 days 00:00:00.000001,0.5,skiplist,0.5,COMPLETE
4,4,19618570.0,2024-08-05 12:53:28.400294,2024-08-05 12:53:28.400294,0 days 00:00:00,0.5,hash-linklist,0.5,COMPLETE
5,5,19212360.0,2024-08-05 12:53:28.400350,2024-08-05 12:53:28.400351,0 days 00:00:00.000001,0.5,hash-linklist,0.5,COMPLETE
6,6,20227430.0,2024-08-05 12:53:28.400407,2024-08-05 12:53:28.400407,0 days 00:00:00,0.5,hash-linklist,0.5,COMPLETE
7,7,19273090.0,2024-08-05 12:53:28.400460,2024-08-05 12:53:28.400460,0 days 00:00:00,0.5,hash-linklist,0.5,COMPLETE
8,8,724.0,2024-08-05 12:53:28.400513,2024-08-05 12:53:28.400514,0 days 00:00:00.000001,0.5,vector,0.5,COMPLETE
9,9,743.0,2024-08-05 12:53:28.400571,2024-08-05 12:53:28.400572,0 days 00:00:00.000001,0.5,vector,0.5,COMPLETE
10,10,683.0,2024-08-05 12:53:28.400621,2024-08-05 12:53:28.400621,0 days 00:00:00,0.5,vector,0.5,COMPLETE
11,11,710.0,2024-08-05 12:53:28.400743,2024-08-05 12:53:28.400743,0 days 00:00:00,0.5,vector,0.5,COMPLETE
12,12,714.0,2024-08-05 12:53:28.400800,2024-08-05 12:53:28.400800,0 days 00:00:00,0.5,vector,0.5,COMPLETE
13,13,682.0,2024-08-05 12:53:28.400856,2024-08-05 12:53:28.400856,0 days 00:00:00,0.5,vector,0.5,COMPLETE
14,14,717.0,2024-08-05 12:53:28.400908,2024-08-05 12:53:28.400908,0 days 00:00:00,0.5,vector,0.5,COMPLETE
15,15,713.0,2024-08-05 12:53:28.400959,2024-08-05 12:53:28.400959,0 days 00:00:00,0.5,vector,0.5,COMPLETE
16,16,703.0,2024-08-05 12:53:28.401007,2024-08-05 12:53:28.401007,0 days 00:00:00,0.5,vector,0.5,COMPLETE
17,17,668.0,2024-08-05 12:53:28.401059,2024-08-05 12:53:28.401060,0 days 00:00:00.000001,0.5,vector,0.5,COMPLETE
18,18,706.0,2024-08-05 12:53:28.401108,2024-08-05 12:53:28.401108,0 days 00:00:00,0.5,vector,0.5,COMPLETE
19,19,704.0,2024-08-05 12:53:28.401162,2024-08-05 12:53:28.401162,0 days 00:00:00,0.5,vector,0.5,COMPLETE
20,20,1948298.0,2024-08-05 12:53:28.401209,2024-08-05 12:53:28.401209,0 days 00:00:00,0.5,hash-skiplist,0.5,COMPLETE
